OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
SON,,BRF2,QARS1,RPS3,RPS15,SRP72,RPL7,POLR2H
SOX10,,BUB3,RABGGTA,RPS4X,RPS15A,SRP9,RPL7A,POLR2I
SPATA5,,BUD31,RABGGTB,RPS5,RPS16,SRPRA,RPL8,POLR2L
SPATA5L1,,BYSL,RAC1,RPS6,RPS18,SRRM1,RPLP0,POLR3A
SPC24,,C21orf59,RACGAP1,RPS7,RPS19,SRRT,RPLP1,POLR3B
SPC25,,C9orf114,RACK1,RPS8,RPS19BP1,SRSF1,RPLP2,POLR3C
SPCS2,,CARS,RAD1,RPS9,RPS20,SRSF11,RPN1,POLR3D
SPCS3,,CBWD1,RAD17,RPTOR,RPS21,SRSF2,RPN2,POLR3E
SPOUT1,,CCDC94,RAD21,RRM1,RPS23,SRSF3,RPP14,POLR3F
SRBD1,,CCNA2,RAD51,RRM2,RPS24,SRSF7,RPP21,POLR3H
SRFBP1,,CCNK,RAD51C,RRP1,RPS25,SS18L2,RPP30,POLR3K
SRP14,,CCT2,RAE1,RRP12,RPS27A,SSRP1,RPP38,POLRMT
SRP54,,CCT3,RAN,RRP15,RPS29,SSU72,RPP40,POM121C
SRP72,,CCT4,RANBP2,RRP7A,RPS3,STX18,RPS11,POMP
SRRM1,,CCT5,RANGAP1,RRP9,RPS4X,STX5,RPS12,POP1
SRSF1,,CCT6A,RARS1,RRS1,RPS5,SUDS3,RPS13,POP4
SRSF11,,CCT7,RBBP4,RSL1D1,RPS6,SUGP1,RPS14,POP5
SRSF2,,CCT8,RBBP5,RSPH9,RPS7,SUGT1,RPS15,POP7
SRSF3,,CDC123,RBBP6,RTEL1,RPS8,SUPT16H,RPS15A,PPA1
SRSF7,,CDC16,RBBP8,RTF1,RPS9,SUPT5H,RPS16,PPAN
SS18L2,,CDC20,RBM14,RTF2,RPTOR,SUPT6H,RPS18,PPAT
SSRP1,,CDC23,RBM17,RUVBL1,RRM1,SUPV3L1,RPS19,PPIE
SSU72,,CDC27,RBM19,RUVBL2,RRM2,SYF2,RPS20,PPIL1
STRAP,,CDC37,RBM22,SACM1L,RRP1,SYMPK,RPS21,PPIL2
STX18,,CDC45,RBM25,SAE1,RRP12,SYS1,RPS23,PPIL4
STX5,,CDC5L,RBM28,SAP18,RRP15,TAF1,RPS24,PPP1CA
SUPT16H,,CDC6,RBM39,SAP30BP,RRP7A,TAF10,RPS25,PPP1CB
SUPT5H,,CDC7,RBM42,SARS1,RRP9,TAF12,RPS27A,PPP1R10
SUPT6H,,CDC73,RBM48,SART1,RRS1,TAF1A,RPS29,PPP1R11
SUPV3L1,,CDK1,RBM8A,SART3,RSL1D1,TAF1B,RPS3,PPP1R12A
SYF2,,CDK11A,RBMX,SBDS,RTF1,TAF1C,RPS4X,PPP1R14B
SYMPK,,CDK7,RBMX2,SBNO1,RTF2,TAF2,RPS5,PPP1R15B
SYS1,,CDK9,RBMXL1,SCFD1,RUVBL1,TAF5,RPS6,PPP1R2
TAF1C,,CDT1,RBX1,SDAD1,RUVBL2,TAF6,RPS7,PPP1R7
TAF5,,CENPC,RCC1,SDE2,SACM1L,TAF7,RPS8,PPP1R8
TAF6,,CENPE,RCL1,SDHC,SAE1,TAF8,RPS9,PPP2CA
TAF7,,CENPK,REV3L,SEC13,SAMM50,TANGO6,RPTOR,PPP2R1A
TAF8,,CENPM,RFC1,SEC61A1,SAP18,TARDBP,RRM1,PPP4C
TAMM41,,CENPN,RFC2,SEC61G,SAP30BP,TARS1,RRM2,PPP4R2
TANGO6,,CENPW,RFC3,SEC63,SARS1,TBCA,RRP1,PPRC1
TARDBP,,CHAF1A,RFC4,SEH1L,SARS2,TBCB,RRP12,PPWD1
TARS,,CHAF1B,RFC5,SEM1,SART1,TBCC,RRP15,PRC1
TARS2,,CHEK1,RFT1,SENP6,SART3,TBCD,RRP7A,PREB
TBC1D3B,,CHMP2A,RHEB,SETD1A,SASS6,TBL3,RRP9,PRELID1
TBCA,,CHMP6,RHOQ,SF1,SBDS,TBP,RRS1,PRELID3B
TBCB,,CKAP5,RINT1,SF3A1,SBNO1,TCP1,RSL1D1,PRIM1
TBCC,,CLNS1A,RIOK1,SF3A2,SCFD1,TFIP11,RTEL1,PRKRA
TBCD,,CLP1,RIOK2,SF3A3,SDAD1,TGS1,RTF1,PRMT1
TBL3,,CNOT3,RNF113A,SF3B1,SDE2,THG1L,RTF2,PRMT5
TCP1,,COPA,RNF20,SF3B2,SDHC,THOC1,RUVBL1,PRPF18
TELO2,,COPB1,RNF8,SF3B3,SEC13,THOC2,RUVBL2,PRPF19
TERF1,,COPB2,RNGTT,SF3B4,SEC61A1,THOC3,SACM1L,PRPF3
TERF2,,COPE,RNMT,SF3B5,SEC61G,THOC5,SAE1,PRPF31
TFRC,,COPS2,RNPC3,SF3B6,SEC63,THOC7,SAMM50,PRPF38A
THAP1,,COPS5,RNPS1,SFPQ,SEH1L,TICRR,SAP18,PRPF38B
THG1L,,COPS6,ROMO1,SFSWAP,SEM1,TIMELESS,SAP30BP,PRPF39
THOC1,,COPZ1,RPA1,SGO1,SENP6,TIMM10,SARS1,PRPF4
THOC2,,CPSF2,RPA2,SIN3A,SETD1A,TIMM13,SART1,PRPF40A
THOC3,,CPSF3,RPA3,SKA1,SF1,TIMM23,SART3,PRPF4B
THOC5,,CPSF3L,RPAIN,SKA2,SF3A1,TIMM44,SASS6,PRPF6
THOC7,,CRCP,RPAP1,SKA3,SF3A2,TINF2,SBDS,PRPF8
TICRR,,CRNKL1,RPAP2,SKIC8,SF3A3,TIPIN,SBNO1,PRRC2A
TIMELESS,,CSE1L,RPAP3,SKP1,SF3B1,TLK2,SCD,PSMA1
TIMM10,,CTCF,RPE,SLBP,SF3B2,TMA16,SCFD1,PSMA2
TIMM13,,CTDP1,RPF1,SLC35B1,SF3B3,TMEM258,SDAD1,PSMA3
TIMM44,,CWC22,RPF2,SLC39A7,SF3B4,TNPO3,SDE2,PSMA4
TIMM8A,,DAD1,RPL10,SLC9B1,SF3B5,TOMM22,SDHC,PSMA5
TINF2,,DARS,RPL10A,SLU7,SF3B6,TOMM40,SEC13,PSMA6
TLN1,,DBR1,RPL11,SMC1A,SFPQ,TONSL,SEC61A1,PSMA7
TMA16,,DCTN5,RPL12,SMC2,SFSWAP,TOP1,SEC61G,PSMB1
TMEM199,,DDB1,RPL13,SMC3,SGO1,TOP2A,SEC63,PSMB2
TMEM258,,DDOST,RPL14,SMC4,SHQ1,TOP3A,SEH1L,PSMB3
TNPO3,,DDX18,RPL17,SMC5,SIN3A,TOPBP1,SEM1,PSMB4
TOMM20,,DDX20,RPL18,SMC6,SKA2,TP53RK,SENP6,PSMB5
TOMM22,,DDX21,RPL18A,SMG5,SKA3,TPR,SEPHS2,PSMB6
TOMM40,,DDX47,RPL19,SMG6,SKIC8,TPT1,SETD1A,PSMB7
TONSL,,DDX54,RPL22,SMNDC1,SKP1,TPX2,SF1,PSMC1
TOP2A,,DDX56,RPL23,SMU1,SLBP,TRAPPC1,SF3A1,PSMC2
TOP3A,,DHDDS,RPL24,SNAPC1,SLC25A3,TRAPPC11,SF3A2,PSMC3
TOPBP1,,DHFR,RPL26,SNAPC2,SLC35B1,TRAPPC3,SF3A3,PSMC4
TPI1,,DHFRL1,RPL26L1,SNAPC3,SLC7A6OS,TRAPPC4,SF3B1,PSMC5
TPR,,DHX15,RPL27,SNAPC4,SLC9B1,TRAPPC5,SF3B2,PSMC6
TPX2,,DHX16,RPL27A,SNAPC5,SLU7,TRAPPC8,SF3B3,PSMD1
TRAIP,,DHX37,RPL28,SNIP1,SMC1A,TRIAP1,SF3B4,PSMD11
TRAPPC1,,DHX8,RPL3,SNRNP200,SMC2,TRMT112,SF3B5,PSMD12
TRAPPC11,,DHX9,RPL30,SNRNP25,SMC3,TRMT5,SF3B6,PSMD13
TRAPPC3,,DIMT1,RPL31,SNRNP27,SMC4,TRNT1,SFPQ,PSMD14
TRAPPC4,,DKC1,RPL32,SNRNP35,SMC5,TRRAP,SFSWAP,PSMD2
TRAPPC8,,DONSON,RPL35,SNRNP70,SMC6,TSEN54,SGO1,PSMD3
TRIAP1,,DTL,RPL36,SNRPA1,SMG5,TSG101,SHQ1,PSMD4
TRMT112,,DTYMK,RPL36AL,SNRPB,SMG6,TSR1,SIN3A,PSMD6
TRNT1,,DUT,RPL37,SNRPC,SMNDC1,TSR2,SKA1,PSMD7
TRPM7,,DYNC1H1,RPL37A,SNRPD1,SMU1,TTC1,SKA2,PSMD8
TRRAP,,DYNC1I2,RPL38,SNRPD2,SNAPC1,TTC27,SKA3,PSMG2
TSEN54,,DYNLRB1,RPL4,SNRPF,SNAPC2,TTI2,SKIC8,PSMG3
TSG101,,ECD,RPL5,SNU13,SNAPC3,TTK,SKP1,PSMG4
TSPYL5,,EEF1A1,RPL7,SNUPN,SNAPC4,TUBA1B,SLBP,PTCD3
TSR1,,EEF2,RPL7A,SNW1,SNAPC5,TUBB,SLC35B1,PTK2
TSR2,,EFTUD2,RPL8,SOD1,SNF8,TUBG1,SLC39A7,PTPA
TTC27,,EIF1,RPLP0,SON,SNIP1,TUBGCP2,SLC7A6OS,PTPMT1
TTC4,,EIF1AX,RPLP1,SPAG5,SNRNP200,TUBGCP3,SLU7,PTPN11
TTI1,,EIF2B2,RPLP2,SPATA5,SNRNP25,TUBGCP4,SMC1A,PTPN23
TTI2,,EIF2B3,RPN1,SPC24,SNRNP27,TUBGCP5,SMC2,PUF60
TUBA1C,,EIF2B4,RPN2,SPC25,SNRNP35,TUBGCP6,SMC3,PWP1
TUBB,,EIF2B5,RPP14,SPCS2,SNRNP40,TUT1,SMC4,PWP2
TUBG1,,EIF2S1,RPP21,SPCS3,SNRNP70,TXN,SMC5,PYROXD1
TUBGCP2,,EIF2S2,RPP30,SPDL1,SNRPA1,TXNL4A,SMC6,QARS1
TUBGCP3,,EIF2S3,RPP38,SPDYE1,SNRPB,TXNL4B,SMG5,RABGGTA
TUBGCP4,,EIF3A,RPP40,SPOUT1,SNRPC,U2AF1,SMG6,RABGGTB
TUBGCP5,,EIF3B,RPS11,SPRR2G,SNRPD1,U2AF2,SMNDC1,RAC1
TUT1,,EIF3CL,RPS12,SPRTN,SNRPD2,U2SURP,SMU1,RACGAP1
TWISTNB,,EIF3D,RPS13,SPRYD4,SNRPF,UBA1,SNAPC1,RACK1
TXN,,EIF3F,RPS14,SPTLC1,SNU13,UBA2,SNAPC2,RAD1
TXNL4A,,EIF3I,RPS15,SRBD1,SNUPN,UBA52,SNAPC3,RAD17
TXNRD1,,EIF4A1,RPS15A,SRCAP,SNW1,UBAP1,SNAPC4,RAD21
U2AF2,,EIF4A3,RPS16,SRFBP1,SOD1,UBE2C,SNAPC5,RAD51
U2SURP,,EIF4E,RPS18,SRP14,SON,UBE2I,SNF8,RAD51C
UBA1,,EIF5,RPS19,SRP19,SPAG5,UBE2L3,SNRNP200,RAD51D
UBA2,,EIF6,RPS19BP1,SRP54,SPATA5,UBE2M,SNRNP25,RAD9A
UBA3,,ELL,RPS20,SRP68,SPC24,UBL5,SNRNP27,RAE1
UBC,,EPRS,RPS21,SRP72,SPC25,UBR4,SNRNP35,RAN
UBE2D3,,ERCC3,RPS23,SRP9,SPCS2,UBTF,SNRNP40,RANBP2
UBE2I,,ERH,RPS24,SRPRA,SPCS3,UFD1,SNRNP70,RANGAP1
UBE2M,,ESPL1,RPS25,SRPRB,SPDL1,UPF1,SNRPA1,RARS1
UBE2N,,ETF1,RPS27A,SRRM1,SPDYE1,UPF2,SNRPB,RARS2
UBL5,,EXOSC2,RPS29,SRRT,SPOUT1,URB1,SNRPB2,RBBP4
UBR4,,EXOSC3,RPS3,SRSF1,SPRTN,URB2,SNRPC,RBBP5
UBTF,,EXOSC4,RPS4X,SRSF11,SPRYD4,URI1,SNRPD1,RBBP6
UFD1,,EXOSC6,RPS5,SRSF2,SRBD1,USP36,SNRPD2,RBBP8
UFM1,,EXOSC7,RPS6,SRSF3,SRCAP,USP37,SNRPF,RBM14
UNC50,,EXOSC9,RPS7,SRSF7,SRFBP1,USP39,SNU13,RBM17
UPF1,,FAM86B1,RPS8,SS18L2,SRP19,USP5,SNUPN,RBM19
UPF2,,FARSA,RPS9,SSB,SRP54,USP8,SNW1,RBM22
UQCRH,,FARSB,RPTOR,SSRP1,SRP68,USPL1,SOD1,RBM25
URB1,,FAU,RRM1,SSU72,SRP72,UTP11,SON,RBM28
URI1,,FBXO5,RRM2,STARD7,SRP9,UTP15,SPATA5,RBM39
URM1,,FIP1L1,RRP1,STX18,SRPRA,UTP18,SPATA5L1,RBM42
USP36,,GARS,RRP12,STX5,SRPRB,UTP20,SPC24,RBM48
USP5,,GBF1,RRP15,SUGP1,SRRM1,UTP23,SPC25,RBM8A
USP7,,GGPS1,RRP7A,SUGT1,SRRT,UTP25,SPCS2,RBMX
USP8,,GINS1,RRP9,SUPT16H,SRSF1,UTP4,SPCS3,RBMX2
USP9X,,GINS2,RRS1,SUPT5H,SRSF11,UTP6,SPDL1,RBMXL1
USPL1,,GINS4,RSL1D1,SUPT6H,SRSF2,UXT,SPDYE1,RBX1
UTP15,,GNB2L1,RTCB,SURF6,SRSF3,VARS1,SPOUT1,RCC1
UTP20,,GNL3,RTF1,SYF2,SRSF6,VCP,SPRTN,RCL1
UTP3,,GPKOW,RTF2,SYMPK,SRSF7,VDAC1,SPTLC1,REV3L
UTP4,,GPN1,RUVBL1,SYVN1,SS18L2,VIRMA,SRBD1,RFC1
UXT,,GPN2,RUVBL2,TADA2A,SSB,VMP1,SRCAP,RFC2
VARS,,GRPEL1,SACM1L,TAF1,SSRP1,VPS13D,SRFBP1,RFC3
VBP1,,GSPT1,SAE1,TAF12,SSU72,VPS18,SRP14,RFC4
VCP,,GTF2A2,SAMM50,TAF1A,STIL,VPS25,SRP19,RFC5
VHL,,GTF2B,SAP18,TAF1B,STX18,VPS28,SRP54,RFT1
VIRMA,,GTF2E1,SAP30BP,TAF1C,STX5,WARS1,SRP68,RHEB
VMP1,,GTF2E2,SARS1,TAF1D,SUDS3,WBP11,SRP72,RHOQ
VPS13D,,GTPBP4,SARS2,TAF2,SUGP1,WDHD1,SRP9,RIC1
VPS18,,GUK1,SART1,TAF5,SUGT1,WDR12,SRPRA,RINT1
VPS25,,HAUS1,SART3,TAF6,SUPT16H,WDR25,SRRM1,RIOK1
VPS28,,HAUS3,SASS6,TAF7,SUPT5H,WDR3,SRRT,RIOK2
VPS33A,,HAUS6,SBDS,TAF8,SUPT6H,WDR33,SRSF1,RMI1
VPS41,,HCFC1,SBNO1,TANGO6,SUPV3L1,WDR43,SRSF10,RNF113A
VPS51,,HEATR1,SCD,TARDBP,SURF6,WDR46,SRSF11,RNF168
VRK1,,HINFP,SCFD1,TARS1,SYF2,WDR5,SRSF2,RNF20
WARS,,HIST1H2AJ,SDAD1,TBCA,SYMPK,WDR55,SRSF3,RNF4
WBP11,,HIST1H2BB,SDE2,TBCB,TADA2A,WDR74,SRSF7,RNF8
WDHD1,,HIST1H2BC,SDHC,TBCC,TAF1,WDR75,SS18L2,RNGTT
WDR1,,HIST1H2BE,SEC13,TBCD,TAF10,WDR77,SSB,RNMT
WDR12,,HIST1H2BF,SEC61A1,TBCE,TAF12,WDR82,SSRP1,RNPC3
WDR18,,HIST1H2BG,SEC61G,TBL3,TAF1A,WEE1,SSU72,RNPS1
WDR24,,HIST1H2BH,SEC63,TBP,TAF1B,WTAP,STRAP,ROMO1
WDR3,,HIST1H2BL,SEH1L,TCERG1,TAF1C,XAB2,STX18,RPA1
WDR43,,HIST1H2BN,SEM1,TCP1,TAF2,XPO1,STX5,RPA2
WDR5,,HMGCS1,SENP6,TDGF1,TAF5,XRCC5,SUDS3,RPA3
WDR55,,HNRNPC,SERBP1,TEFM,TAF6,XRCC6,SUGP1,RPAIN
WDR7,,HNRNPK,SETD1A,TEX10,TAF7,XRN2,SUGT1,RPAP1
WDR74,,HNRNPL,SF1,TFIP11,TANGO6,YAE1,SUPT16H,RPAP2
WDR75,,HSPA9,SF3A1,TGS1,TARDBP,YARS1,SUPT5H,RPAP3
WDR77,,HSPE1,SF3A2,THG1L,TARS1,YBX1,SUPT6H,RPE
WDR82,,IARS,SF3A3,THOC1,TBCA,YEATS4,SUPV3L1,RPF1
WDR92,,IGBP1,SF3B1,THOC2,TBCB,YJU2,SURF6,RPF2
WEE1,,IMP3,SF3B2,THOC3,TBCC,YKT6,SYF2,RPL10
WNK1,,INTS4,SF3B3,THOC5,TBCD,YTHDC1,SYMPK,RPL10A
XAB2,,INTS9,SF3B4,THOC7,TBCE,ZBTB11,SYS1,RPL11
XPO1,,IPO11,SF3B5,TICRR,TBL3,ZBTB8OS,SYVN1,RPL12
XPO5,,IPO13,SF3B6,TIMELESS,TBP,ZC3H8,TAF1,RPL13
XRCC3,,ISCU,SFPQ,TIMM10,TCERG1,ZCCHC9,TAF12,RPL14
XRCC5,,KARS,SFSWAP,TIMM13,TCP1,ZMAT2,TAF1A,RPL17
XRCC6,,KAT8,SGO1,TIMM23,TELO2,ZMAT5,TAF1B,RPL18
XRN2,,KIAA1429,SHQ1,TIMM29,TEX10,ZNF131,TAF1C,RPL18A
YARS,,KIF11,SIN3A,TIMM44,TFIP11,ZNF207,TAF1D,RPL19
YARS2,,KIF23,SKA1,TINF2,TGS1,ZNF407,TAF2,RPL22
YEATS4,,KIN,SKA2,TIPIN,THG1L,ZNF492,TAF5,RPL23
YJU2,,KPNB1,SKA3,TLCD1,THOC1,ZNF830,TAF6,RPL24
YKT6,,KRTAP4-11,SKIC8,TLK2,THOC2,ZNHIT2,TAF7,RPL26
YPEL5,,KRTAP9-4,SKP1,TMA16,THOC3,ZNHIT6,TAF8,RPL26L1
YRDC,,LARS,SLBP,TMEM183A,THOC5,ZPR1,TANGO6,RPL27
ZBTB11,,LAS1L,SLC25A3,TMEM258,THOC7,,TARDBP,RPL27A
ZMAT2,,LCE1E,SLC35B1,TNPO3,TICRR,,TARS1,RPL28
ZMAT5,,LONP1,SLC39A7,TOMM20,TIMELESS,,TBCA,RPL3
ZNF131,,LSM2,SLC7A6OS,TOMM22,TIMM13,,TBCB,RPL30
ZNF207,,LSM3,SLC9B1,TOMM40,TIMM23,,TBCC,RPL31
ZNF492,,LSM4,SLU7,TONSL,TIMM44,,TBCD,RPL32
ZNF559,,LSM5,SMARCA5,TOP1,TINF2,,TBL3,RPL35
ZNF720,,LSM6,SMARCE1,TOP2A,TIPIN,,TBP,RPL36
ZNF830,,LSM7,SMC1A,TOP3A,TLK2,,TCERG1,RPL36AL
ZNHIT2,,LUC7L3,SMC2,TOPBP1,TMA16,,TCP1,RPL37
ZNRD1,,LYRM4,SMC3,TP53RK,TMEM183A,,TEX10,RPL37A
ZPR1,,MAD2L1,SMC4,TPR,TMEM258,,TFIP11,RPL38
ZRSR2,,MAK16,SMC5,TPT1,TNPO3,,TGS1,RPL4
AASDHPPT,,MARS,SMC6,TPX2,TOMM20,,THAP1,RPL5
ABT1,,MASTL,SMG5,TRAIP,TOMM22,,THG1L,RPL7
AFM,,MAT2A,SMG6,TRAPPC1,TOMM40,,THOC1,RPL7A
AGAP5,,MCM2,SMNDC1,TRAPPC11,TONSL,,THOC2,RPL8
AGAP6,,MCM3AP,SMU1,TRAPPC3,TOP1,,THOC3,RPLP0
ANAPC5,,MCM5,SNAPC1,TRAPPC4,TOP2A,,THOC5,RPLP1
ARFRP1,,MCM6,SNAPC2,TRAPPC5,TOP3A,,THOC7,RPLP2
ARPC4,,MCM7,SNAPC3,TRAPPC8,TOPBP1,,TICRR,RPN1
ASH2L,,MDN1,SNAPC4,TRIM37,TP53RK,,TIMELESS,RPN2
ATP13A1,,MED14,SNAPC5,TRMT112,TPR,,TIMM10,RPP14
ATP5F1A,,MED20,SNF8,TRMT5,TPT1,,TIMM13,RPP21
ATP5PB,,MED22,SNIP1,TRNT1,TPX2,,TIMM23,RPP30
ATP6V0D1,,MED27,SNRNP200,TRRAP,TRAPPC1,,TIMM44,RPP38
BARD1,,MED28,SNRNP25,TSEN2,TRAPPC11,,TIMM9,RPP40
BCAS2,,MED30,SNRNP27,TSEN54,TRAPPC3,,TINF2,RPS11
BDP1,,MED31,SNRNP35,TSG101,TRAPPC4,,TIPIN,RPS12
C15orf41,,MED4,SNRNP40,TSR1,TRAPPC5,,TLK2,RPS13
C18orf21,,MED6,SNRNP70,TSR2,TRAPPC8,,TMA16,RPS14
CARS2,,MFAP1,SNRPA1,TTC1,TRIAP1,,TMED10,RPS15
CENPL,,MMS22L,SNRPB,TTC27,TRIM37,,TMED2,RPS15A
CENPM,,MPHOSPH10,SNRPC,TTF1,TRMT112,,TMEM183A,RPS16
CEP97,,MTBP,SNRPD1,TTF2,TRMT5,,TMEM258,RPS18
CLEC18C,,MYC,SNRPD2,TTI1,TRNT1,,TNPO3,RPS19
COG4,,NAA38,SNRPF,TTI2,TRPM7,,TOMM22,RPS19BP1
CTAGE8,,NAA50,SNU13,TTK,TRRAP,,TOMM40,RPS20
CTU1,,NAPA,SNUPN,TUBA1B,TSEN2,,TONSL,RPS21
DARS1,,NARFL,SNW1,TUBB,TSEN54,,TOP1,RPS23
DBF4,,NARS,SOD1,TUBG1,TSG101,,TOP2A,RPS24
DCAF13,,NAT10,SON,TUBG2,TSR1,,TOP3A,RPS25
DDX20,,NCAPG,SPAG5,TUBGCP2,TSR2,,TOPBP1,RPS27A
DDX59,,NCBP1,SPATA5,TUBGCP3,TTC1,,TP53RK,RPS29
DHX9,,NCBP2,SPATA5L1,TUBGCP4,TTC27,,TPR,RPS3
DIMT1,,NDC80,SPC24,TUBGCP5,TTF1,,TPT1,RPS4X
DNAJA3,,NEDD1,SPC25,TUBGCP6,TTI1,,TPX2,RPS5
DNLZ,,NEDD8,SPCS2,TUT1,TTI2,,TRAPPC1,RPS6
DROSHA,,NHP2L1,SPCS3,TXN,TTK,,TRAPPC11,RPS7
E4F1,,NIFK,SPDL1,TXNL4A,TUBA1B,,TRAPPC3,RPS8
EEF1B2,,NIP7,SPDYE1,TXNL4B,TUBB,,TRAPPC4,RPS9
EIF1,,NKAP,SPOUT1,U2AF1,TUBG1,,TRAPPC5,RPTOR
EIF2B5,,NMD3,SPRR2G,U2AF2,TUBGCP2,,TRAPPC8,RRM1
ELOA3B,,NOL10,SPRTN,U2SURP,TUBGCP3,,TRIAP1,RRM2
ERCC3,,NOL6,SPRYD4,UBA1,TUBGCP4,,TRIM37,RRP1
EXOC7,,NOP16,SPTLC1,UBA2,TUBGCP5,,TRMT112,RRP12
FURIN,,NOP56,SRBD1,UBA52,TUBGCP6,,TRMT5,RRP15
GAR1,,NOP58,SRCAP,UBAP1,TUT1,,TRNT1,RRP7A
GBGT1,,NPIPA5,SRFBP1,UBE2C,TXN,,TRRAP,RRP9
GFER,,NPLOC4,SRP14,UBE2I,TXNL4A,,TSEN2,RRS1
GLE1,,NRDE2,SRP19,UBE2L3,TXNL4B,,TSEN54,RSL1D1
GNL3,,NRF1,SRP54,UBL5,U2AF1,,TSG101,RTCB
GOLGA8N,,NSA2,SRP68,UBQLN4,U2AF2,,TSR1,RTEL1
GPX4,,NSF,SRP72,UBR4,U2SURP,,TSR2,RTF1
GTF3C1,,NSL1,SRP9,UBTF,UBA1,,TTC1,RTF2
