,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.8840314356525776,2024-06-14 13:37:31.281953,2024-06-14 13:39:30.781676,0 days 00:01:59.499723,gbdt,0.031087727638145553,180,11,COMPLETE
1,1,0.8581211597990048,2024-06-14 13:39:30.794986,2024-06-14 13:40:58.159280,0 days 00:01:27.364294,gbdt,0.010380666220215586,200,6,COMPLETE
2,2,0.8816011520046633,2024-06-14 13:40:58.168062,2024-06-14 13:42:30.271971,0 days 00:01:32.103909,gbdt,0.08539055331506538,200,6,COMPLETE
3,3,0.8659533808988401,2024-06-14 13:42:30.281231,2024-06-14 13:45:06.977124,0 days 00:02:36.695893,dart,0.03797368584189956,200,17,COMPLETE
4,4,0.8019126125273731,2024-06-14 13:45:06.985800,2024-06-14 13:46:05.647556,0 days 00:00:58.661756,dart,0.01893752833103416,160,4,COMPLETE
5,5,0.8071755270052814,2024-06-14 13:46:05.655025,2024-06-14 13:47:10.086473,0 days 00:01:04.431448,gbdt,0.003635627599223656,140,8,COMPLETE
6,6,0.8842745593639953,2024-06-14 13:47:10.095599,2024-06-14 13:48:18.218774,0 days 00:01:08.123175,gbdt,0.06552662207945346,100,12,COMPLETE
7,7,0.8638298865383843,2024-06-14 13:48:18.226356,2024-06-14 13:48:56.671223,0 days 00:00:38.444867,dart,0.06546688354703332,80,6,COMPLETE
8,8,0.8660411221151565,2024-06-14 13:48:56.679876,2024-06-14 13:50:42.690309,0 days 00:01:46.010433,dart,0.029504986919191643,180,12,COMPLETE
9,9,0.8637146884849709,2024-06-14 13:50:42.698837,2024-06-14 13:52:37.461893,0 days 00:01:54.763056,dart,0.05053208297233182,140,18,COMPLETE
10,10,0.8250369911226926,2024-06-14 13:52:37.470640,2024-06-14 13:53:34.043672,0 days 00:00:56.573032,gbdt,0.001385943779694463,80,14,COMPLETE
11,11,0.8697306912016043,2024-06-14 13:53:34.051625,2024-06-14 13:54:37.120550,0 days 00:01:03.068925,gbdt,0.015862535602146916,100,11,COMPLETE
12,12,0.7455512487476369,2024-06-14 13:54:37.129372,2024-06-14 13:55:44.244504,0 days 00:01:07.115132,gbdt,0.09452256888511104,120,1,COMPLETE
13,13,0.860572206633947,2024-06-14 13:55:44.252158,2024-06-14 13:56:30.216702,0 days 00:00:45.964544,gbdt,0.02541402700977472,60,14,COMPLETE
14,14,0.8250355208207413,2024-06-14 13:56:30.225395,2024-06-14 13:58:10.862501,0 days 00:01:40.637106,gbdt,0.005513878610019045,120,20,COMPLETE
15,15,0.8834064113206995,2024-06-14 13:58:10.871744,2024-06-14 13:59:50.414103,0 days 00:01:39.542359,gbdt,0.041630251662470606,160,9,COMPLETE
16,16,0.859903048998411,2024-06-14 13:59:50.422589,2024-06-14 14:00:58.533502,0 days 00:01:08.110913,gbdt,0.012534669031036913,100,14,COMPLETE
17,17,0.8598286015987231,2024-06-14 14:00:58.542305,2024-06-14 14:02:33.438952,0 days 00:01:34.896647,gbdt,0.0053361521155617,160,12,COMPLETE
18,18,0.8805896680012744,2024-06-14 14:02:33.447972,2024-06-14 14:03:51.599657,0 days 00:01:18.151685,gbdt,0.0560740448284998,100,16,COMPLETE
19,19,0.8804196487798878,2024-06-14 14:03:51.608299,2024-06-14 14:05:40.330369,0 days 00:01:48.722070,gbdt,0.02400535285090694,180,9,COMPLETE
20,20,0.8818410630697524,2024-06-14 14:05:40.339513,2024-06-14 14:06:24.317304,0 days 00:00:43.977791,gbdt,0.09968957052462235,60,10,COMPLETE
21,21,0.8861070556015175,2024-06-14 14:06:24.325362,2024-06-14 14:08:04.190702,0 days 00:01:39.865340,gbdt,0.05062855698898174,160,9,COMPLETE
22,22,0.8848949743956551,2024-06-14 14:08:04.199573,2024-06-14 14:09:57.133805,0 days 00:01:52.934232,gbdt,0.039570684517833896,180,12,COMPLETE
23,23,0.8864792436481428,2024-06-14 14:09:57.142331,2024-06-14 14:11:34.076027,0 days 00:01:36.933696,gbdt,0.06506962867549773,140,13,COMPLETE
24,24,0.8827065214007259,2024-06-14 14:11:34.085080,2024-06-14 14:13:14.955715,0 days 00:01:40.870635,gbdt,0.0405244179696894,140,15,COMPLETE
25,25,0.8720720051318616,2024-06-14 14:13:14.964481,2024-06-14 14:14:28.856331,0 days 00:01:13.891850,gbdt,0.01832270300965061,160,8,COMPLETE
26,26,0.8749416235182517,2024-06-14 14:14:28.864122,2024-06-14 14:16:21.396997,0 days 00:01:52.532875,dart,0.06510752398754467,180,13,COMPLETE
27,27,0.8480709637031134,2024-06-14 14:16:21.405648,2024-06-14 14:18:14.206401,0 days 00:01:52.800753,gbdt,0.007571426585485371,140,19,COMPLETE
28,28,0.861209493870092,2024-06-14 14:18:14.214719,2024-06-14 14:19:16.322399,0 days 00:01:02.107680,gbdt,0.04746678685250526,160,4,COMPLETE
29,29,0.8845305468356066,2024-06-14 14:19:16.330594,2024-06-14 14:21:04.779996,0 days 00:01:48.449402,gbdt,0.030758600981845154,180,10,COMPLETE
30,30,0.8328007510117812,2024-06-14 14:21:04.788358,2024-06-14 14:22:28.285101,0 days 00:01:23.496743,gbdt,0.0030340405806921662,120,16,COMPLETE
31,31,0.8837585644285179,2024-06-14 14:22:28.293821,2024-06-14 14:24:15.182720,0 days 00:01:46.888899,gbdt,0.031174269144849817,180,10,COMPLETE
32,32,0.8851192740575149,2024-06-14 14:24:15.191067,2024-06-14 14:25:51.653555,0 days 00:01:36.462488,gbdt,0.03457178622093985,180,11,COMPLETE
33,33,0.8907136762040831,2024-06-14 14:25:51.661770,2024-06-14 14:27:13.626432,0 days 00:01:21.964662,gbdt,0.08151180047852394,200,8,COMPLETE
34,34,0.8871903046537544,2024-06-14 14:27:13.635819,2024-06-14 14:28:31.784345,0 days 00:01:18.148526,gbdt,0.07982301396205002,200,7,COMPLETE
35,35,0.8863886623091627,2024-06-14 14:28:31.792322,2024-06-14 14:29:52.843609,0 days 00:01:21.051287,gbdt,0.07685375621616622,200,7,COMPLETE
36,36,0.8608818244961061,2024-06-14 14:29:52.852222,2024-06-14 14:31:04.296300,0 days 00:01:11.444078,dart,0.07519358778333328,200,5,COMPLETE
37,37,0.8860464148576133,2024-06-14 14:31:04.305211,2024-06-14 14:32:21.882402,0 days 00:01:17.577191,gbdt,0.07790809014269835,200,7,COMPLETE
38,38,0.8054066816987147,2024-06-14 14:32:21.889712,2024-06-14 14:33:38.399478,0 days 00:01:16.509766,gbdt,0.0811525126002691,200,2,COMPLETE
39,39,0.8751532189915106,2024-06-14 14:33:38.406792,2024-06-14 14:34:52.864787,0 days 00:01:14.457995,dart,0.06356046109182509,200,7,COMPLETE
40,40,0.8371649787724493,2024-06-14 14:34:52.872191,2024-06-14 14:36:05.775384,0 days 00:01:12.903193,gbdt,0.08682652672325408,200,3,COMPLETE
41,41,0.8848367956890366,2024-06-14 14:36:05.783163,2024-06-14 14:37:26.199656,0 days 00:01:20.416493,gbdt,0.051063884926128685,200,7,COMPLETE
42,42,0.8724421884287569,2024-06-14 14:37:26.208712,2024-06-14 14:38:25.442726,0 days 00:00:59.234014,gbdt,0.06084832845876067,160,5,COMPLETE
43,43,0.8888162447746708,2024-06-14 14:38:25.449863,2024-06-14 14:39:47.120384,0 days 00:01:21.670521,gbdt,0.04901700457695459,200,8,COMPLETE
44,44,0.8920218256962265,2024-06-14 14:39:47.127840,2024-06-14 14:41:09.010941,0 days 00:01:21.883101,gbdt,0.09846092895281035,200,8,COMPLETE
45,45,0.5,2024-06-14 14:41:09.019571,2024-06-14 14:42:23.884911,0 days 00:01:14.865340,dart,0.0011256900300553434,200,8,COMPLETE
46,46,0.879456793612188,2024-06-14 14:42:23.892333,2024-06-14 14:43:38.106035,0 days 00:01:14.213702,gbdt,0.07347095143179341,200,6,COMPLETE
47,47,0.8740206028991748,2024-06-14 14:43:38.113906,2024-06-14 14:44:42.950522,0 days 00:01:04.836616,gbdt,0.09833390697733767,180,5,COMPLETE
48,48,0.8864132731152253,2024-06-14 14:44:42.958675,2024-06-14 14:46:20.883270,0 days 00:01:37.924595,gbdt,0.045184592506975714,180,9,COMPLETE
49,49,0.8860954723137215,2024-06-14 14:46:20.890999,2024-06-14 14:47:42.824335,0 days 00:01:21.933336,gbdt,0.0571442456384546,200,8,COMPLETE
