,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_actual_estimator__boosting_type,param_actual_estimator__learning_rate,param_actual_estimator__n_voters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,76.76569685935974,4.513032253793212,2.2674522399902344,1.3626293520752606,gbdt,0.1,4,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
1,74.30219144821167,4.523900851707053,2.5775084495544434,1.022093024493086,gbdt,0.1,6,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
2,74.07874736785888,0.9325777070578531,1.9625484466552734,0.6370778824181612,gbdt,0.1,8,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
3,70.27403593063354,1.5805737124316594,1.5475664615631104,0.3537383557164388,gbdt,0.1,10,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
7,91.00097751617432,3.154310405973251,2.218779468536377,0.9829706852376912,gbdt,0.3,4,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
8,78.27370958328247,2.932906038409694,3.2026577949523927,0.5322094294000852,gbdt,0.3,6,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
9,75.01155905723571,1.2766842354876342,3.3181519985198973,1.1278919334579427,gbdt,0.3,8,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
10,69.03838038444519,2.7512278754772157,1.62237868309021,0.7042260908067897,gbdt,0.3,10,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
14,82.44987664222717,4.334852492826645,2.507648801803589,0.768376588133175,gbdt,0.5,4,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
15,72.13844327926635,6.148192702972574,3.635631227493286,1.0586212554764307,gbdt,0.5,6,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
16,72.72180161476135,2.848871947551631,2.4010321617126467,0.4911327034023395,gbdt,0.5,8,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
17,69.47032594680786,1.3789326194227518,2.287555980682373,0.662727698162421,gbdt,0.5,10,"{'actual_estimator__boosting_type': 'gbdt', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
21,83.84798383712769,2.1696312111073808,2.552207660675049,0.3902087150802471,dart,0.1,4,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
22,77.14140048027039,2.663962204960157,3.093673086166382,0.8546522739050287,dart,0.1,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
23,72.72339448928832,2.3729928002760423,2.997252607345581,1.008182090179051,dart,0.1,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
24,66.50583386421204,2.2998637945703946,2.486364793777466,0.299162911934313,dart,0.1,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
28,85.9203131198883,2.4451990246656115,2.1255480289459228,0.47361860314620996,dart,0.3,4,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
29,76.7328932762146,4.096554109741148,2.76234827041626,0.7429401496800704,dart,0.3,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
30,73.43637809753417,2.312478220012548,3.2602726459503173,0.7720820332163557,dart,0.3,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
31,68.41487488746642,2.2704547796675913,3.338734817504883,0.5010371143471686,dart,0.3,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
35,87.80059952735901,3.334917561891914,2.478481817245483,0.7027900265703505,dart,0.5,4,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
36,77.98874173164367,4.327240183980034,3.241401433944702,0.8505499321624455,dart,0.5,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
37,74.3058940410614,1.3279632148119342,2.532532215118408,0.9875785666237784,dart,0.5,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
38,67.40366563796997,2.9537780000019933,2.201151466369629,0.9408168152091125,dart,0.5,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
