,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.8218902407385942,2024-07-04 09:17:13.600512,2024-07-04 09:19:27.362429,0 days 00:02:13.761917,0.0046368749800043815,140,19,COMPLETE
1,1,0.8653183805668396,2024-07-04 09:19:27.373971,2024-07-04 09:20:21.203864,0 days 00:00:53.829893,0.03422437697707564,60,15,COMPLETE
2,2,0.7710865789602588,2024-07-04 09:20:21.212430,2024-07-04 09:21:23.124144,0 days 00:01:01.911714,0.002749676605966887,80,10,COMPLETE
3,3,0.8754812912141879,2024-07-04 09:21:23.132888,2024-07-04 09:22:31.448303,0 days 00:01:08.315415,0.04310062501662385,80,15,COMPLETE
4,4,0.8692853760574903,2024-07-04 09:22:31.458275,2024-07-04 09:23:18.035680,0 days 00:00:46.577405,0.03529724167562061,80,7,COMPLETE
5,5,0.8669687389158334,2024-07-04 09:23:18.044911,2024-07-04 09:25:04.872109,0 days 00:01:46.827198,0.01592434410240106,140,15,COMPLETE
6,6,0.7423201972978838,2024-07-04 09:25:04.880958,2024-07-04 09:26:42.437478,0 days 00:01:37.556520,0.014047227877134643,180,2,COMPLETE
7,7,0.8616906344902263,2024-07-04 09:26:42.445637,2024-07-04 09:29:27.122456,0 days 00:02:44.676819,0.01582489793820045,180,20,COMPLETE
8,8,0.7781454123850181,2024-07-04 09:29:27.131510,2024-07-04 09:32:03.120681,0 days 00:02:35.989171,0.0014654305307062127,180,17,COMPLETE
9,9,0.8801786515597385,2024-07-04 09:32:03.129611,2024-07-04 09:34:09.378805,0 days 00:02:06.249194,0.0922041231743729,120,19,COMPLETE
10,10,0.8890785810189067,2024-07-04 09:34:09.387962,2024-07-04 09:35:44.688765,0 days 00:01:35.300803,0.09737609555437081,120,11,COMPLETE
11,11,0.8897784110940774,2024-07-04 09:35:44.698448,2024-07-04 09:37:20.207210,0 days 00:01:35.508762,0.0833939898449321,120,11,COMPLETE
12,12,0.8887491313227194,2024-07-04 09:37:20.217025,2024-07-04 09:39:02.856304,0 days 00:01:42.639279,0.09879336585246574,120,9,COMPLETE
13,13,0.8748559433181882,2024-07-04 09:39:02.865944,2024-07-04 09:39:57.620635,0 days 00:00:54.754691,0.052501484752015076,100,6,COMPLETE
14,14,0.8617651457739015,2024-07-04 09:39:57.629659,2024-07-04 09:41:36.453709,0 days 00:01:38.824050,0.006706710725524661,140,12,COMPLETE
15,15,0.8893791067510906,2024-07-04 09:41:36.462569,2024-07-04 09:43:40.617261,0 days 00:02:04.154692,0.06162712137054213,160,13,COMPLETE
16,16,0.8518673046013465,2024-07-04 09:43:40.626049,2024-07-04 09:45:17.305334,0 days 00:01:36.679285,0.022557443430483933,200,4,COMPLETE
17,17,0.8877594740074641,2024-07-04 09:45:17.315946,2024-07-04 09:47:21.824943,0 days 00:02:04.508997,0.05062442835151636,160,13,COMPLETE
18,18,0.8865196983957426,2024-07-04 09:47:21.835012,2024-07-04 09:48:55.541071,0 days 00:01:33.706059,0.06243484124940529,160,8,COMPLETE
19,19,0.8797876698313465,2024-07-04 09:48:55.552563,2024-07-04 09:50:53.018125,0 days 00:01:57.465562,0.024725616357682965,160,14,COMPLETE
20,20,0.864355859081743,2024-07-04 09:50:53.027208,2024-07-04 09:52:06.070260,0 days 00:01:13.043052,0.010371252395060676,100,11,COMPLETE
21,21,0.8903467677174742,2024-07-04 09:52:06.079645,2024-07-04 09:53:42.493322,0 days 00:01:36.413677,0.0719480016902805,120,11,COMPLETE
22,22,0.8857387304819687,2024-07-04 09:53:42.502410,2024-07-04 09:55:01.879330,0 days 00:01:19.376920,0.06530017599490812,100,13,COMPLETE
23,23,0.8792518614203294,2024-07-04 09:55:01.888473,2024-07-04 09:56:44.092566,0 days 00:01:42.204093,0.027684159534093665,140,9,COMPLETE
24,24,0.8792109618454603,2024-07-04 09:56:44.101914,2024-07-04 09:58:44.474018,0 days 00:02:00.372104,0.06109922121232724,120,17,COMPLETE
25,25,0.8702422022132813,2024-07-04 09:58:44.483399,2024-07-04 10:00:05.729596,0 days 00:01:21.246197,0.07443905470800143,160,5,COMPLETE
26,26,0.8821342637861452,2024-07-04 10:00:05.738317,2024-07-04 10:01:25.823296,0 days 00:01:20.084979,0.04528693796747472,100,12,COMPLETE
27,27,0.8812604858087122,2024-07-04 10:01:25.832073,2024-07-04 10:03:12.506077,0 days 00:01:46.674004,0.034186140479051504,140,9,COMPLETE
28,28,0.7310595769278143,2024-07-04 10:03:12.515294,2024-07-04 10:06:03.183818,0 days 00:02:50.668524,0.0010547607897700253,200,17,COMPLETE
29,29,0.8518271564970943,2024-07-04 10:06:03.193429,2024-07-04 10:07:41.986205,0 days 00:01:38.792776,0.0038530256688486084,140,10,COMPLETE
30,30,0.8566817904754502,2024-07-04 10:07:41.995725,2024-07-04 10:09:14.102436,0 days 00:01:32.106711,0.007182607834715775,120,13,COMPLETE
31,31,0.890125633374106,2024-07-04 10:09:14.113387,2024-07-04 10:10:47.074513,0 days 00:01:32.961126,0.0981118286589957,120,11,COMPLETE
32,32,0.8892270077962342,2024-07-04 10:10:47.083200,2024-07-04 10:12:04.431695,0 days 00:01:17.348495,0.07653454780988954,100,12,COMPLETE
33,33,0.8822602756010977,2024-07-04 10:12:04.440531,2024-07-04 10:12:58.487732,0 days 00:00:54.047201,0.07538730395013409,60,10,COMPLETE
34,34,0.8823177833282909,2024-07-04 10:12:58.498501,2024-07-04 10:14:34.968264,0 days 00:01:36.469763,0.037750758022901,120,14,COMPLETE
35,35,0.8776370472555804,2024-07-04 10:14:34.977351,2024-07-04 10:15:27.005221,0 days 00:00:52.027870,0.054574485247832795,80,8,COMPLETE
36,36,0.8784516437553218,2024-07-04 10:15:27.014271,2024-07-04 10:17:17.052124,0 days 00:01:50.037853,0.030347698666746446,140,16,COMPLETE
37,37,0.8867417678268337,2024-07-04 10:17:17.060953,2024-07-04 10:18:52.227740,0 days 00:01:35.166787,0.07830502740732737,120,11,COMPLETE
38,38,0.8718036629237712,2024-07-04 10:18:52.236949,2024-07-04 10:20:15.992094,0 days 00:01:23.755145,0.020498905910131787,160,7,COMPLETE
39,39,0.8763044666039495,2024-07-04 10:20:16.001330,2024-07-04 10:21:25.988441,0 days 00:01:09.987111,0.042817239053873205,80,14,COMPLETE
40,40,0.8856877513579594,2024-07-04 10:21:25.997231,2024-07-04 10:23:49.932076,0 days 00:02:23.934845,0.04283483353504201,180,15,COMPLETE
41,41,0.8899511462647919,2024-07-04 10:23:49.941190,2024-07-04 10:25:12.368326,0 days 00:01:22.427136,0.07834351686973452,100,12,COMPLETE
42,42,0.8890474827545558,2024-07-04 10:25:12.377251,2024-07-04 10:26:36.481662,0 days 00:01:24.104411,0.09988278820809152,100,11,COMPLETE
43,43,0.8899133537370407,2024-07-04 10:26:36.490849,2024-07-04 10:28:20.455412,0 days 00:01:43.964563,0.07906147101731197,120,12,COMPLETE
44,44,0.8893713792067434,2024-07-04 10:28:20.464272,2024-07-04 10:30:02.390648,0 days 00:01:41.926376,0.0833097274290306,120,10,COMPLETE
45,45,0.888660831150989,2024-07-04 10:30:02.400508,2024-07-04 10:31:20.869566,0 days 00:01:18.469058,0.06924371511076219,100,12,COMPLETE
46,46,0.8828235791906733,2024-07-04 10:31:20.878785,2024-07-04 10:32:31.066399,0 days 00:01:10.187614,0.05159862612142457,120,8,COMPLETE
47,47,0.5906651994629677,2024-07-04 10:32:31.075670,2024-07-04 10:33:34.735730,0 days 00:01:03.660060,0.0018892376879486074,80,10,COMPLETE
48,48,0.8913823813453939,2024-07-04 10:33:34.745115,2024-07-04 10:35:23.864892,0 days 00:01:49.119777,0.09125181050600767,140,12,COMPLETE
49,49,0.8707242955569032,2024-07-04 10:35:23.873811,2024-07-04 10:37:10.076635,0 days 00:01:46.202824,0.01932345736274913,140,15,COMPLETE
